city_name,sub_property_type,locality_name,locality_id,view_trends_url,reviews_link,comp_highest_price,comp_highest_qoq,comp_highest_trend,comp_avg_price,comp_avg_qoq,comp_avg_trend,comp_lowest_price,comp_lowest_qoq,comp_lowest_trend,sale_avg_price,sale_price,sale_qoq,sale_trend_direction,rent_avg_price,rent_price,rent_qoq,rent_trend_direction,price_history,nearby_localities,locality_rating,locality_rating_users,locality_reviews,total_props,props_for_sale,props_for_rent,projects_count
New Delhi,Multistorey Apartment,Chhattarpur,84415,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Chattarpur-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Chattarpur-in-New-Delhi?widgetName=localityRatings,"6,772",5%,down,"5,319",6%,down,"3,866",7%,down,"5,319","5,319",6%,down,24,24,9%,up,"[{""quarter"": ""Jul-Sep\\'14"", ""lower"": ""3844"", ""upper"": ""6132"", ""average"": ""4988""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""3869"", ""upper"": ""6231"", ""average"": ""5050""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""3566"", ""upper"": ""5950"", ""average"": ""4758""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""3206"", ""upper"": ""5475"", ""average"": ""4340""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""3214"", ""upper"": ""5502"", ""average"": ""4358""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""3217"", ""upper"": ""5187"", ""average"": ""4202""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""3232"", ""upper"": ""5541"", ""average"": ""4387""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""3326"", ""upper"": ""5290"", ""average"": ""4308""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""3083"", ""upper"": ""5607"", ""average"": ""4345""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""3139"", ""upper"": ""5769"", ""average"": ""4454""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""3403"", ""upper"": ""5585"", ""average"": ""4494""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""3395"", ""upper"": ""5100"", ""average"": ""4248""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""3292"", ""upper"": ""5111"", ""average"": ""4202""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""3269"", ""upper"": ""5050"", ""average"": ""4159""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""3291"", ""upper"": ""5174"", ""average"": ""4233""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""3305"", ""upper"": ""5013"", ""average"": ""4159""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""3090"", ""upper"": ""4901"", ""average"": ""3995""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""3077"", ""upper"": ""5133"", ""average"": ""4105""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""3069"", ""upper"": ""4953"", ""average"": ""4011""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""3021"", ""upper"": ""5079"", ""average"": ""4050""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""3285"", ""upper"": ""5335"", ""average"": ""4310""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""3235"", ""upper"": ""5673"", ""average"": ""4454""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""3226"", ""upper"": ""5294"", ""average"": ""4260""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""3170"", ""upper"": ""5524"", ""average"": ""4347""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""2952"", ""upper"": ""4944"", ""average"": ""3948""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""3160"", ""upper"": ""5348"", ""average"": ""4254""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""3136"", ""upper"": ""5180"", ""average"": ""4158""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""3102"", ""upper"": ""5276"", ""average"": ""4189""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""3290"", ""upper"": ""5652"", ""average"": ""4471""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""3348"", ""upper"": ""5619"", ""average"": ""4483""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""3410"", ""upper"": ""5725"", ""average"": ""4567""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""3693"", ""upper"": ""6105"", ""average"": ""4899""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""3604"", ""upper"": ""6233"", ""average"": ""4919""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""3604"", ""upper"": ""5949"", ""average"": ""4776""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""3461"", ""upper"": ""5665"", ""average"": ""4563""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""3523"", ""upper"": ""5747"", ""average"": ""4635""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""3550"", ""upper"": ""5953"", ""average"": ""4752""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""3567"", ""upper"": ""6188"", ""average"": ""4878""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""3494"", ""upper"": ""6095"", ""average"": ""4795""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""3452"", ""upper"": ""5886"", ""average"": ""4669""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""3532"", ""upper"": ""5919"", ""average"": ""4726""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""3837"", ""upper"": ""6468"", ""average"": ""5153""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""4177"", ""upper"": ""6448"", ""average"": ""5313""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""3973"", ""upper"": ""6640"", ""average"": ""5307""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""4150"", ""upper"": ""7147"", ""average"": ""5649""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""3866"", ""upper"": ""6772"", ""average"": ""5319""}]",[],4.6,247,213,1975631,989490,986141,4
New Delhi,Multistorey Apartment,Dashrathpuri Metro Road,185938,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dashrathpuri-Metro-Road-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dashrathpuri-Metro-Road-in-New-Delhi?widgetName=localityRatings,"7,864",,down,"6,240",,down,"4,617",,down,"6,240","6,240",,down,,,,,"[{""quarter"": ""Oct-Dec\\'24"", ""lower"": ""3936"", ""upper"": ""6789"", ""average"": ""5363""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""3952"", ""upper"": ""6423"", ""average"": ""5187""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""4370"", ""upper"": ""7249"", ""average"": ""5809""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""4062"", ""upper"": ""7260"", ""average"": ""5661""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""4617"", ""upper"": ""7864"", ""average"": ""6240""}]",[],,,,274,228,46,
New Delhi,Multistorey Apartment,Dilshad Garden,53154,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dilshad-Garden-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dilshad-Garden-in-New-Delhi?widgetName=localityRatings,"9,730",4%,up,"7,882",1%,up,"6,034",4%,down,"7,882","7,882",1%,up,,,,,"[{""quarter"": ""Jan-Mar\\'14"", ""lower"": ""6447"", ""upper"": ""11337"", ""average"": ""8892""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""5632"", ""upper"": ""10690"", ""average"": ""8161""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""6239"", ""upper"": ""10899"", ""average"": ""8569""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""6005"", ""upper"": ""10791"", ""average"": ""8398""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""5589"", ""upper"": ""8920"", ""average"": ""7254""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""4263"", ""upper"": ""7465"", ""average"": ""5864""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""6778"", ""upper"": ""11709"", ""average"": ""9243""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""5898"", ""upper"": ""10483"", ""average"": ""8190""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""6016"", ""upper"": ""10723"", ""average"": ""8370""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""6247"", ""upper"": ""10290"", ""average"": ""8269""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""5315"", ""upper"": ""9025"", ""average"": ""7170""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""5633"", ""upper"": ""8288"", ""average"": ""6961""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""5662"", ""upper"": ""9918"", ""average"": ""7790""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""5709"", ""upper"": ""9801"", ""average"": ""7755""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""5852"", ""upper"": ""10083"", ""average"": ""7968""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""5703"", ""upper"": ""9863"", ""average"": ""7783""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""5652"", ""upper"": ""9496"", ""average"": ""7574""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""5338"", ""upper"": ""8957"", ""average"": ""7148""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""4991"", ""upper"": ""8781"", ""average"": ""6886""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""6352"", ""upper"": ""10795"", ""average"": ""8574""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""5737"", ""upper"": ""9699"", ""average"": ""7718""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""5554"", ""upper"": ""10052"", ""average"": ""7803""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""5365"", ""upper"": ""9194"", ""average"": ""7279""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""5571"", ""upper"": ""9778"", ""average"": ""7675""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""5349"", ""upper"": ""9518"", ""average"": ""7433""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""5530"", ""upper"": ""9336"", ""average"": ""7433""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""5440"", ""upper"": ""9012"", ""average"": ""7226""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""5408"", ""upper"": ""9340"", ""average"": ""7374""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""5267"", ""upper"": ""9147"", ""average"": ""7207""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""5973"", ""upper"": ""10591"", ""average"": ""8282""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""6111"", ""upper"": ""10162"", ""average"": ""8137""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""6427"", ""upper"": ""10397"", ""average"": ""8412""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""5884"", ""upper"": ""10277"", ""average"": ""8081""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""6484"", ""upper"": ""10490"", ""average"": ""8487""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""5567"", ""upper"": ""9203"", ""average"": ""7385""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""5821"", ""upper"": ""10155"", ""average"": ""7988""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""5803"", ""upper"": ""9374"", ""average"": ""7588""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""5918"", ""upper"": ""9866"", ""average"": ""7892""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""5925"", ""upper"": ""10342"", ""average"": ""8134""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""5889"", ""upper"": ""10288"", ""average"": ""8089""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""5968"", ""upper"": ""10280"", ""average"": ""8124""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""5671"", ""upper"": ""10298"", ""average"": ""7985""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""5944"", ""upper"": ""9651"", ""average"": ""7797""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""6267"", ""upper"": ""9419"", ""average"": ""7843""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""6732"", ""upper"": ""9347"", ""average"": ""8040""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""6267"", ""upper"": ""9365"", ""average"": ""7816""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""6034"", ""upper"": ""9730"", ""average"": ""7882""}]",[],4.5,57,57,128,109,19,
New Delhi,Multistorey Apartment,Dwarka,53155,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dwarka-in-New-Delhi?widgetName=localityRatings,"17,865",3%,up,"15,364",8%,up,"12,863",16%,up,"15,364","15,364",8%,up,26,26,8%,up,"[{""quarter"": ""Jan-Mar\\'09"", ""lower"": ""5207"", ""upper"": ""5705"", ""average"": ""5456""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""5157"", ""upper"": ""5283"", ""average"": ""5220""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""5497"", ""upper"": ""5600"", ""average"": ""5548""}, {""quarter"": ""Jan-Mar\\'10"", ""lower"": ""5547"", ""upper"": ""5625"", ""average"": ""5586""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""5789"", ""upper"": ""6192"", ""average"": ""5990""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""6229"", ""upper"": ""6664"", ""average"": ""6446""}, {""quarter"": ""Oct-Dec\\'10"", ""lower"": ""6337"", ""upper"": ""6558"", ""average"": ""6448""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""6590"", ""upper"": ""6721"", ""average"": ""6656""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""6930"", ""upper"": ""7124"", ""average"": ""7027""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""7934"", ""upper"": ""8255"", ""average"": ""8095""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""8394"", ""upper"": ""8810"", ""average"": ""8602""}, {""quarter"": ""Jan-Mar\\'12"", ""lower"": ""6982"", ""upper"": ""10385"", ""average"": ""8683""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""7491"", ""upper"": ""10889"", ""average"": ""9190""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""7707"", ""upper"": ""11012"", ""average"": ""9359""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""7492"", ""upper"": ""11174"", ""average"": ""9333""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""7690"", ""upper"": ""11413"", ""average"": ""9552""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""7655"", ""upper"": ""11275"", ""average"": ""9465""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""7528"", ""upper"": ""11039"", ""average"": ""9283""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""7435"", ""upper"": ""10849"", ""average"": ""9142""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""7344"", ""upper"": ""10678"", ""average"": ""9011""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""7408"", ""upper"": ""10697"", ""average"": ""9053""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""7382"", ""upper"": ""10682"", ""average"": ""9032""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""7267"", ""upper"": ""10455"", ""average"": ""8861""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""7232"", ""upper"": ""10202"", ""average"": ""8717""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""7168"", ""upper"": ""10186"", ""average"": ""8677""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""6771"", ""upper"": ""10056"", ""average"": ""8414""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""6768"", ""upper"": ""9904"", ""average"": ""8336""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""6845"", ""upper"": ""10027"", ""average"": ""8436""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""6780"", ""upper"": ""9860"", ""average"": ""8320""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""6716"", ""upper"": ""9667"", ""average"": ""8192""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""6627"", ""upper"": ""9593"", ""average"": ""8110""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""6450"", ""upper"": ""9225"", ""average"": ""7837""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""6504"", ""upper"": ""9327"", ""average"": ""7916""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""6647"", ""upper"": ""9493"", ""average"": ""8070""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""6742"", ""upper"": ""9592"", ""average"": ""8167""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""6885"", ""upper"": ""9739"", ""average"": ""8312""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""7120"", ""upper"": ""10010"", ""average"": ""8565""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""7185"", ""upper"": ""10110"", ""average"": ""8648""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""7265"", ""upper"": ""10155"", ""average"": ""8710""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""7351"", ""upper"": ""10190"", ""average"": ""8771""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""7406"", ""upper"": ""10223"", ""average"": ""8814""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""7291"", ""upper"": ""10315"", ""average"": ""8803""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""7347"", ""upper"": ""10409"", ""average"": ""8878""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""7461"", ""upper"": ""10399"", ""average"": ""8930""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""7398"", ""upper"": ""10325"", ""average"": ""8861""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""7444"", ""upper"": ""10384"", ""average"": ""8914""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""7497"", ""upper"": ""10371"", ""average"": ""8934""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""7620"", ""upper"": ""10427"", ""average"": ""9023""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""7704"", ""upper"": ""10561"", ""average"": ""9132""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""7727"", ""upper"": ""10682"", ""average"": ""9204""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""7821"", ""upper"": ""10822"", ""average"": ""9321""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""7914"", ""upper"": ""10980"", ""average"": ""9447""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""8058"", ""upper"": ""11204"", ""average"": ""9631""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""8134"", ""upper"": ""11487"", ""average"": ""9811""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""8258"", ""upper"": ""11681"", ""average"": ""9969""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""8428"", ""upper"": ""11911"", ""average"": ""10170""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""8600"", ""upper"": ""12179"", ""average"": ""10389""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""8954"", ""upper"": ""12780"", ""average"": ""10867""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""9328"", ""upper"": ""13319"", ""average"": ""11323""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""9680"", ""upper"": ""13999"", ""average"": ""11839""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""10175"", ""upper"": ""14730"", ""average"": ""12453""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""10844"", ""upper"": ""15587"", ""average"": ""13215""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""11545"", ""upper"": ""16147"", ""average"": ""13846""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""11696"", ""upper"": ""16405"", ""average"": ""14050""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""11828"", ""upper"": ""16782"", ""average"": ""14305""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""12206"", ""upper"": ""17125"", ""average"": ""14666""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""11078"", ""upper"": ""17405"", ""average"": ""14242""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""12863"", ""upper"": ""17865"", ""average"": ""15364""}]",[],4.4,90,131,5522,4569,953,90
New Delhi,Multistorey Apartment,Dwarka Mor,88709,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Mor-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dwarka-Mor-in-New-Delhi?widgetName=localityRatings,"7,523",12%,up,"6,048",4%,up,"4,573",8%,down,"6,048","6,048",4%,up,,,,,"[{""quarter"": ""Jul-Sep\\'13"", ""lower"": ""6871"", ""upper"": ""10982"", ""average"": ""8927""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""6029"", ""upper"": ""10150"", ""average"": ""8090""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""4875"", ""upper"": ""8290"", ""average"": ""6583""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""8123"", ""upper"": ""9922"", ""average"": ""9022""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""6312"", ""upper"": ""10176"", ""average"": ""8244""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""4216"", ""upper"": ""7915"", ""average"": ""6066""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""3311"", ""upper"": ""5054"", ""average"": ""4182""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""3195"", ""upper"": ""4921"", ""average"": ""4058""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""3191"", ""upper"": ""5659"", ""average"": ""4425""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""3378"", ""upper"": ""4849"", ""average"": ""4114""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""3477"", ""upper"": ""5382"", ""average"": ""4429""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""3288"", ""upper"": ""5448"", ""average"": ""4368""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""3588"", ""upper"": ""5686"", ""average"": ""4637""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""3647"", ""upper"": ""5551"", ""average"": ""4599""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""3308"", ""upper"": ""5518"", ""average"": ""4413""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""3452"", ""upper"": ""5502"", ""average"": ""4477""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""3808"", ""upper"": ""5875"", ""average"": ""4841""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""4091"", ""upper"": ""8386"", ""average"": ""6238""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""3301"", ""upper"": ""5129"", ""average"": ""4215""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""3245"", ""upper"": ""5547"", ""average"": ""4396""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""3407"", ""upper"": ""5267"", ""average"": ""4337""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""3561"", ""upper"": ""5365"", ""average"": ""4463""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""3873"", ""upper"": ""5946"", ""average"": ""4909""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""3646"", ""upper"": ""6100"", ""average"": ""4873""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""3648"", ""upper"": ""6297"", ""average"": ""4972""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""3497"", ""upper"": ""5719"", ""average"": ""4608""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""3352"", ""upper"": ""5361"", ""average"": ""4357""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""3385"", ""upper"": ""5188"", ""average"": ""4287""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""3446"", ""upper"": ""5311"", ""average"": ""4378""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""3411"", ""upper"": ""5350"", ""average"": ""4381""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""3547"", ""upper"": ""5472"", ""average"": ""4509""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""3696"", ""upper"": ""5444"", ""average"": ""4570""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""3460"", ""upper"": ""5273"", ""average"": ""4367""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""3659"", ""upper"": ""5864"", ""average"": ""4762""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""3543"", ""upper"": ""5898"", ""average"": ""4721""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""3646"", ""upper"": ""5746"", ""average"": ""4696""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""3528"", ""upper"": ""5746"", ""average"": ""4637""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""3860"", ""upper"": ""6383"", ""average"": ""5122""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""4157"", ""upper"": ""6635"", ""average"": ""5396""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""3972"", ""upper"": ""6378"", ""average"": ""5175""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""3905"", ""upper"": ""6552"", ""average"": ""5229""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""4592"", ""upper"": ""7696"", ""average"": ""6144""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""4345"", ""upper"": ""6968"", ""average"": ""5657""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""4600"", ""upper"": ""6590"", ""average"": ""5595""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""4630"", ""upper"": ""7021"", ""average"": ""5826""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""4972"", ""upper"": ""6706"", ""average"": ""5839""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""4573"", ""upper"": ""7523"", ""average"": ""6048""}]",[],4.5,135,121,372,272,100,2
