city_name,sub_property_type,locality_name,locality_id,view_trends_url,reviews_link,comp_highest_price,comp_highest_qoq,comp_highest_trend,comp_avg_price,comp_avg_qoq,comp_avg_trend,comp_lowest_price,comp_lowest_qoq,comp_lowest_trend,sale_avg_price,sale_price,sale_qoq,sale_trend_direction,rent_avg_price,rent_price,rent_qoq,rent_trend_direction,price_history,nearby_localities,locality_rating,locality_rating_users,locality_reviews,total_props,props_for_sale,props_for_rent,projects_count
New Delhi,Multistorey Apartment,Alaknanda,70373,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Alaknanda-in-New-Delhi?widgetName=localityRatings,"23,024",8%,up,"19,147",9%,up,"15,269",10%,up,"19,147","19,147",9%,up,43,43,8%,up,"[{""quarter"": ""Jan-Mar\\'09"", ""lower"": ""7367"", ""upper"": ""8258"", ""average"": ""7812""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""7531"", ""upper"": ""10689"", ""average"": ""9110""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""7736"", ""upper"": ""9820"", ""average"": ""8778""}, {""quarter"": ""Jan-Mar\\'10"", ""lower"": ""8809"", ""upper"": ""9218"", ""average"": ""9013""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""9479"", ""upper"": ""9932"", ""average"": ""9705""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""10004"", ""upper"": ""11902"", ""average"": ""10953""}, {""quarter"": ""Oct-Dec\\'10"", ""lower"": ""10824"", ""upper"": ""11277"", ""average"": ""11050""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""10955"", ""upper"": ""11597"", ""average"": ""11276""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""11545"", ""upper"": ""12074"", ""average"": ""11810""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""13016"", ""upper"": ""14199"", ""average"": ""13607""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""13723"", ""upper"": ""15359"", ""average"": ""14541""}, {""quarter"": ""Jan-Mar\\'12"", ""lower"": ""11587"", ""upper"": ""16131"", ""average"": ""13859""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""12415"", ""upper"": ""17859"", ""average"": ""15137""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""11949"", ""upper"": ""18099"", ""average"": ""15024""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""12266"", ""upper"": ""18846"", ""average"": ""15556""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""13298"", ""upper"": ""19876"", ""average"": ""16587""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""12295"", ""upper"": ""17983"", ""average"": ""15139""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""12470"", ""upper"": ""18436"", ""average"": ""15453""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""12779"", ""upper"": ""19224"", ""average"": ""16002""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""12036"", ""upper"": ""18745"", ""average"": ""15391""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""12288"", ""upper"": ""19420"", ""average"": ""15854""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""12139"", ""upper"": ""18762"", ""average"": ""15451""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""12091"", ""upper"": ""18483"", ""average"": ""15287""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""12229"", ""upper"": ""18516"", ""average"": ""15373""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""11607"", ""upper"": ""18268"", ""average"": ""14937""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""11585"", ""upper"": ""17943"", ""average"": ""14764""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""10866"", ""upper"": ""16772"", ""average"": ""13819""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""10696"", ""upper"": ""15607"", ""average"": ""13151""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""10925"", ""upper"": ""15766"", ""average"": ""13345""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""10778"", ""upper"": ""16189"", ""average"": ""13484""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""10703"", ""upper"": ""15431"", ""average"": ""13067""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""10379"", ""upper"": ""14693"", ""average"": ""12536""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""10382"", ""upper"": ""14633"", ""average"": ""12508""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""10159"", ""upper"": ""14879"", ""average"": ""12519""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""10276"", ""upper"": ""14668"", ""average"": ""12472""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""10469"", ""upper"": ""15399"", ""average"": ""12934""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""10422"", ""upper"": ""15459"", ""average"": ""12941""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""10294"", ""upper"": ""15395"", ""average"": ""12845""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""10145"", ""upper"": ""15573"", ""average"": ""12859""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""10061"", ""upper"": ""14514"", ""average"": ""12288""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""10001"", ""upper"": ""15199"", ""average"": ""12600""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""9661"", ""upper"": ""14575"", ""average"": ""12118""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""9920"", ""upper"": ""14639"", ""average"": ""12280""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""10612"", ""upper"": ""15126"", ""average"": ""12869""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""10210"", ""upper"": ""14787"", ""average"": ""12499""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""9929"", ""upper"": ""15264"", ""average"": ""12596""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""9807"", ""upper"": ""14463"", ""average"": ""12135""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""10037"", ""upper"": ""15318"", ""average"": ""12677""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""10140"", ""upper"": ""15170"", ""average"": ""12655""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""10563"", ""upper"": ""15907"", ""average"": ""13235""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""10653"", ""upper"": ""15554"", ""average"": ""13104""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""10978"", ""upper"": ""15944"", ""average"": ""13461""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""11011"", ""upper"": ""16408"", ""average"": ""13709""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""10756"", ""upper"": ""16117"", ""average"": ""13436""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""10988"", ""upper"": ""15594"", ""average"": ""13291""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""11071"", ""upper"": ""15252"", ""average"": ""13162""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""11003"", ""upper"": ""15548"", ""average"": ""13275""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""11085"", ""upper"": ""15864"", ""average"": ""13475""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""11554"", ""upper"": ""16193"", ""average"": ""13874""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""12222"", ""upper"": ""17133"", ""average"": ""14678""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""11862"", ""upper"": ""17395"", ""average"": ""14628""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""12750"", ""upper"": ""19120"", ""average"": ""15935""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""13200"", ""upper"": ""18583"", ""average"": ""15892""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""12774"", ""upper"": ""18604"", ""average"": ""15689""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""13806"", ""upper"": ""20313"", ""average"": ""17059""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""13982"", ""upper"": ""20740"", ""average"": ""17361""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""13860"", ""upper"": ""21325"", ""average"": ""17592""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""15269"", ""upper"": ""23024"", ""average"": ""19147""}]",[],4.3,55,55,209,139,70,4
New Delhi,Multistorey Apartment,Alaknanda Road,185835,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-Road-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Alaknanda-Road-in-New-Delhi?widgetName=localityRatings,"23,506",5%,up,"19,418",4%,up,"15,330",2%,up,"19,418","19,418",4%,up,44,44,7%,up,"[{""quarter"": ""Oct-Dec\\'25"", ""lower"": ""14996"", ""upper"": ""22404"", ""average"": ""18700""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""15330"", ""upper"": ""23506"", ""average"": ""19418""}]",[],,,,1979982,989991,989991,7
New Delhi,Multistorey Apartment,Bakkarwala,98167,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Bakkarwala-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Bakkarwala-in-New-Delhi?widgetName=localityRatings,"6,507",5%,down,"5,264",9%,down,"4,021",15%,down,"5,264","5,264",9%,down,,,,,"[{""quarter"": ""Apr-Jun\\'15"", ""lower"": ""4240"", ""upper"": ""6622"", ""average"": ""5431""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""3995"", ""upper"": ""6394"", ""average"": ""5194""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""4380"", ""upper"": ""6823"", ""average"": ""5601""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""4226"", ""upper"": ""6884"", ""average"": ""5555""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""3702"", ""upper"": ""6080"", ""average"": ""4891""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""3779"", ""upper"": ""5965"", ""average"": ""4872""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""4046"", ""upper"": ""6133"", ""average"": ""5090""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""3775"", ""upper"": ""6198"", ""average"": ""4986""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""4444"", ""upper"": ""6844"", ""average"": ""5644""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""3337"", ""upper"": ""6021"", ""average"": ""4679""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""3023"", ""upper"": ""5562"", ""average"": ""4292""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""3228"", ""upper"": ""5417"", ""average"": ""4322""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""3423"", ""upper"": ""5340"", ""average"": ""4382""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""3306"", ""upper"": ""5590"", ""average"": ""4448""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""3850"", ""upper"": ""6104"", ""average"": ""4977""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""3617"", ""upper"": ""5980"", ""average"": ""4799""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""4118"", ""upper"": ""6483"", ""average"": ""5300""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""4422"", ""upper"": ""6921"", ""average"": ""5672""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""4718"", ""upper"": ""6836"", ""average"": ""5777""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""4512"", ""upper"": ""6857"", ""average"": ""5685""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""4728"", ""upper"": ""6842"", ""average"": ""5785""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""4021"", ""upper"": ""6507"", ""average"": ""5264""}]",[],4.0,1,1,52,46,6,
New Delhi,Multistorey Apartment,Burari,84620,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Burari-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Burari-in-New-Delhi?widgetName=localityRatings,"6,135",17%,up,"4,926",10%,up,"3,718",0.2%,up,"4,926","4,926",10%,up,,,,,"[{""quarter"": ""Apr-Jun\\'16"", ""lower"": ""3160"", ""upper"": ""5222"", ""average"": ""4191""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""3089"", ""upper"": ""5273"", ""average"": ""4181""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""2914"", ""upper"": ""4803"", ""average"": ""3858""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""2909"", ""upper"": ""4879"", ""average"": ""3894""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""2814"", ""upper"": ""5015"", ""average"": ""3915""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""2986"", ""upper"": ""5175"", ""average"": ""4080""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""3127"", ""upper"": ""5040"", ""average"": ""4084""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""3489"", ""upper"": ""5609"", ""average"": ""4549""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""3828"", ""upper"": ""5642"", ""average"": ""4735""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""3758"", ""upper"": ""5643"", ""average"": ""4700""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""3203"", ""upper"": ""5402"", ""average"": ""4302""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""5259"", ""upper"": ""10014"", ""average"": ""7637""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""3245"", ""upper"": ""5235"", ""average"": ""4240""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""3558"", ""upper"": ""5255"", ""average"": ""4407""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""3362"", ""upper"": ""5463"", ""average"": ""4413""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""3593"", ""upper"": ""5516"", ""average"": ""4555""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""3654"", ""upper"": ""5415"", ""average"": ""4534""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""3711"", ""upper"": ""5425"", ""average"": ""4568""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""3711"", ""upper"": ""5262"", ""average"": ""4486""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""3718"", ""upper"": ""6135"", ""average"": ""4926""}]",[],4.6,32,27,256,188,68,
New Delhi,Multistorey Apartment,Burari Road,185896,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Burari-Road-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Burari-Road-in-New-Delhi?widgetName=localityRatings,"6,091",15%,up,"4,864",8%,up,"3,637",3%,down,"4,864","4,864",8%,up,,,,,"[{""quarter"": ""Oct-Dec\\'25"", ""lower"": ""3742"", ""upper"": ""5295"", ""average"": ""4519""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""3637"", ""upper"": ""6091"", ""average"": ""4864""}]",[],,,,1979973,989991,989982,
