city_name,sub_property_type,locality_name,locality_id,view_trends_url,comp_highest_price,comp_highest_qoq,comp_highest_trend,comp_avg_price,comp_avg_qoq,comp_avg_trend,comp_lowest_price,comp_lowest_qoq,comp_lowest_trend,sale_avg_price,sale_price,sale_qoq,sale_trend_direction,rent_avg_price,rent_price,rent_qoq,rent_trend_direction,price_history,nearby_localities,locality_rating,locality_rating_users,locality_reviews,total_props,props_for_sale,props_for_rent,projects_count
New Delhi,Multistorey Apartment,Alaknanda,70373,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-in-New-Delhi,"23,024",8%,up,"19,147",9%,up,"15,269",10%,up,"19,147","19,147",9%,up,43,43,8%,up,"[{""quarter"": ""Jan-Mar\\'09"", ""lower"": ""7367"", ""upper"": ""8258"", ""average"": ""7812""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""7531"", ""upper"": ""10689"", ""average"": ""9110""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""7736"", ""upper"": ""9820"", ""average"": ""8778""}, {""quarter"": ""Jan-Mar\\'10"", ""lower"": ""8809"", ""upper"": ""9218"", ""average"": ""9013""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""9479"", ""upper"": ""9932"", ""average"": ""9705""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""10004"", ""upper"": ""11902"", ""average"": ""10953""}, {""quarter"": ""Oct-Dec\\'10"", ""lower"": ""10824"", ""upper"": ""11277"", ""average"": ""11050""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""10955"", ""upper"": ""11597"", ""average"": ""11276""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""11545"", ""upper"": ""12074"", ""average"": ""11810""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""13016"", ""upper"": ""14199"", ""average"": ""13607""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""13723"", ""upper"": ""15359"", ""average"": ""14541""}, {""quarter"": ""Jan-Mar\\'12"", ""lower"": ""11587"", ""upper"": ""16131"", ""average"": ""13859""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""12415"", ""upper"": ""17859"", ""average"": ""15137""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""11949"", ""upper"": ""18099"", ""average"": ""15024""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""12266"", ""upper"": ""18846"", ""average"": ""15556""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""13298"", ""upper"": ""19876"", ""average"": ""16587""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""12295"", ""upper"": ""17983"", ""average"": ""15139""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""12470"", ""upper"": ""18436"", ""average"": ""15453""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""12779"", ""upper"": ""19224"", ""average"": ""16002""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""12036"", ""upper"": ""18745"", ""average"": ""15391""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""12288"", ""upper"": ""19420"", ""average"": ""15854""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""12139"", ""upper"": ""18762"", ""average"": ""15451""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""12091"", ""upper"": ""18483"", ""average"": ""15287""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""12229"", ""upper"": ""18516"", ""average"": ""15373""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""11607"", ""upper"": ""18268"", ""average"": ""14937""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""11585"", ""upper"": ""17943"", ""average"": ""14764""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""10866"", ""upper"": ""16772"", ""average"": ""13819""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""10696"", ""upper"": ""15607"", ""average"": ""13151""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""10925"", ""upper"": ""15766"", ""average"": ""13345""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""10778"", ""upper"": ""16189"", ""average"": ""13484""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""10703"", ""upper"": ""15431"", ""average"": ""13067""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""10379"", ""upper"": ""14693"", ""average"": ""12536""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""10382"", ""upper"": ""14633"", ""average"": ""12508""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""10159"", ""upper"": ""14879"", ""average"": ""12519""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""10276"", ""upper"": ""14668"", ""average"": ""12472""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""10469"", ""upper"": ""15399"", ""average"": ""12934""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""10422"", ""upper"": ""15459"", ""average"": ""12941""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""10294"", ""upper"": ""15395"", ""average"": ""12845""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""10145"", ""upper"": ""15573"", ""average"": ""12859""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""10061"", ""upper"": ""14514"", ""average"": ""12288""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""10001"", ""upper"": ""15199"", ""average"": ""12600""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""9661"", ""upper"": ""14575"", ""average"": ""12118""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""9920"", ""upper"": ""14639"", ""average"": ""12280""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""10612"", ""upper"": ""15126"", ""average"": ""12869""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""10210"", ""upper"": ""14787"", ""average"": ""12499""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""9929"", ""upper"": ""15264"", ""average"": ""12596""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""9807"", ""upper"": ""14463"", ""average"": ""12135""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""10037"", ""upper"": ""15318"", ""average"": ""12677""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""10140"", ""upper"": ""15170"", ""average"": ""12655""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""10563"", ""upper"": ""15907"", ""average"": ""13235""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""10653"", ""upper"": ""15554"", ""average"": ""13104""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""10978"", ""upper"": ""15944"", ""average"": ""13461""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""11011"", ""upper"": ""16408"", ""average"": ""13709""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""10756"", ""upper"": ""16117"", ""average"": ""13436""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""10988"", ""upper"": ""15594"", ""average"": ""13291""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""11071"", ""upper"": ""15252"", ""average"": ""13162""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""11003"", ""upper"": ""15548"", ""average"": ""13275""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""11085"", ""upper"": ""15864"", ""average"": ""13475""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""11554"", ""upper"": ""16193"", ""average"": ""13874""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""12222"", ""upper"": ""17133"", ""average"": ""14678""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""11862"", ""upper"": ""17395"", ""average"": ""14628""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""12750"", ""upper"": ""19120"", ""average"": ""15935""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""13200"", ""upper"": ""18583"", ""average"": ""15892""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""12774"", ""upper"": ""18604"", ""average"": ""15689""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""13806"", ""upper"": ""20313"", ""average"": ""17059""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""13982"", ""upper"": ""20740"", ""average"": ""17361""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""13860"", ""upper"": ""21325"", ""average"": ""17592""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""15269"", ""upper"": ""23024"", ""average"": ""19147""}]",[],4.3,55,55,205,137,68,4
New Delhi,Multistorey Apartment,Alaknanda Road,185835,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-Road-in-New-Delhi,"23,506",5%,up,"19,418",4%,up,"15,330",2%,up,"19,418","19,418",4%,up,44,44,7%,up,"[{""quarter"": ""Oct-Dec\\'25"", ""lower"": ""14996"", ""upper"": ""22404"", ""average"": ""18700""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""15330"", ""upper"": ""23506"", ""average"": ""19418""}]",[],,,,1969518,984759,984759,7
