city_name,sub_property_type,locality_name,locality_id,view_trends_url,reviews_link,comp_highest_price,comp_highest_qoq,comp_highest_trend,comp_avg_price,comp_avg_qoq,comp_avg_trend,comp_lowest_price,comp_lowest_qoq,comp_lowest_trend,sale_avg_price,sale_price,sale_qoq,sale_trend_direction,rent_avg_price,rent_price,rent_qoq,rent_trend_direction,price_history,nearby_localities,locality_rating,locality_rating_users,locality_reviews,total_props,props_for_sale,props_for_rent,projects_count
New Delhi,Multistorey Apartment,Sector 3 Dwarka,77740,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Sector-3-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dwarka-Sector-3-in-New-Delhi?widgetName=localityRatings,"16,613",2%,up,"14,514",7%,up,"12,415",16%,up,"14,514","14,514",7%,up,25,25,14%,up,"[{""quarter"": ""Jan-Mar\\'09"", ""lower"": ""4922"", ""upper"": ""5427"", ""average"": ""5174""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""5094"", ""upper"": ""5408"", ""average"": ""5251""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""5250"", ""upper"": ""5363"", ""average"": ""5306""}, {""quarter"": ""Jan-Mar\\'10"", ""lower"": ""5213"", ""upper"": ""5591"", ""average"": ""5402""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""5411"", ""upper"": ""5511"", ""average"": ""5461""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""5786"", ""upper"": ""5907"", ""average"": ""5847""}, {""quarter"": ""Oct-Dec\\'10"", ""lower"": ""6327"", ""upper"": ""6468"", ""average"": ""6397""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""6524"", ""upper"": ""7069"", ""average"": ""6797""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""6545"", ""upper"": ""7771"", ""average"": ""7158""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""6958"", ""upper"": ""8403"", ""average"": ""7680""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""7773"", ""upper"": ""8413"", ""average"": ""8093""}, {""quarter"": ""Jan-Mar\\'12"", ""lower"": ""6500"", ""upper"": ""9824"", ""average"": ""8162""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""7446"", ""upper"": ""10694"", ""average"": ""9070""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""7499"", ""upper"": ""10244"", ""average"": ""8871""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""7135"", ""upper"": ""10357"", ""average"": ""8746""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""7538"", ""upper"": ""10972"", ""average"": ""9255""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""7516"", ""upper"": ""10956"", ""average"": ""9236""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""7463"", ""upper"": ""10378"", ""average"": ""8921""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""7209"", ""upper"": ""10250"", ""average"": ""8730""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""7164"", ""upper"": ""10053"", ""average"": ""8609""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""7071"", ""upper"": ""9879"", ""average"": ""8475""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""6982"", ""upper"": ""10272"", ""average"": ""8627""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""6719"", ""upper"": ""9976"", ""average"": ""8347""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""6674"", ""upper"": ""9647"", ""average"": ""8160""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""6665"", ""upper"": ""9754"", ""average"": ""8209""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""6751"", ""upper"": ""9608"", ""average"": ""8179""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""6445"", ""upper"": ""9226"", ""average"": ""7835""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""6765"", ""upper"": ""9869"", ""average"": ""8317""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""6667"", ""upper"": ""10032"", ""average"": ""8349""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""6360"", ""upper"": ""9466"", ""average"": ""7913""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""5865"", ""upper"": ""8998"", ""average"": ""7432""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""6070"", ""upper"": ""8741"", ""average"": ""7406""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""6221"", ""upper"": ""8807"", ""average"": ""7514""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""6126"", ""upper"": ""8929"", ""average"": ""7528""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""6439"", ""upper"": ""9089"", ""average"": ""7764""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""6730"", ""upper"": ""9186"", ""average"": ""7958""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""6726"", ""upper"": ""8984"", ""average"": ""7855""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""6662"", ""upper"": ""9251"", ""average"": ""7956""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""6852"", ""upper"": ""9437"", ""average"": ""8145""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""6917"", ""upper"": ""9427"", ""average"": ""8172""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""7035"", ""upper"": ""9538"", ""average"": ""8286""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""6823"", ""upper"": ""9841"", ""average"": ""8332""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""7017"", ""upper"": ""9888"", ""average"": ""8452""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""7124"", ""upper"": ""9793"", ""average"": ""8458""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""7106"", ""upper"": ""9670"", ""average"": ""8388""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""7095"", ""upper"": ""9573"", ""average"": ""8334""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""7207"", ""upper"": ""9690"", ""average"": ""8449""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""7350"", ""upper"": ""9799"", ""average"": ""8574""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""7460"", ""upper"": ""9923"", ""average"": ""8692""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""7318"", ""upper"": ""9865"", ""average"": ""8591""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""7480"", ""upper"": ""10199"", ""average"": ""8840""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""7547"", ""upper"": ""10426"", ""average"": ""8986""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""7547"", ""upper"": ""10316"", ""average"": ""8931""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""7818"", ""upper"": ""10868"", ""average"": ""9343""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""7883"", ""upper"": ""11099"", ""average"": ""9491""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""7913"", ""upper"": ""11322"", ""average"": ""9617""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""8187"", ""upper"": ""11315"", ""average"": ""9751""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""8549"", ""upper"": ""11903"", ""average"": ""10226""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""8664"", ""upper"": ""12148"", ""average"": ""10406""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""9211"", ""upper"": ""12571"", ""average"": ""10891""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""9686"", ""upper"": ""13625"", ""average"": ""11656""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""10480"", ""upper"": ""14302"", ""average"": ""12391""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""11845"", ""upper"": ""15763"", ""average"": ""13804""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""11748"", ""upper"": ""15998"", ""average"": ""13873""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""11976"", ""upper"": ""16230"", ""average"": ""14103""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""12645"", ""upper"": ""16422"", ""average"": ""14533""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""10728"", ""upper"": ""16346"", ""average"": ""13537""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""12415"", ""upper"": ""16613"", ""average"": ""14514""}]",[],4.6,46,31,149,119,30,
New Delhi,Multistorey Apartment,Sector 9 Dwarka,77746,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Sector-9-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Dwarka-Sector-9-in-New-Delhi?widgetName=localityRatings,"18,029",1%,down,"15,827",6%,up,"13,626",16%,up,"15,827","15,827",6%,up,26,26,13%,up,"[{""quarter"": ""Jan-Mar\\'08"", ""lower"": ""4280"", ""upper"": ""4781"", ""average"": ""4531""}, {""quarter"": ""Jan-Mar\\'09"", ""lower"": ""5084"", ""upper"": ""5872"", ""average"": ""5478""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""0"", ""upper"": ""29089"", ""average"": ""13274""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""0"", ""upper"": ""28774"", ""average"": ""13231""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""5603"", ""upper"": ""5925"", ""average"": ""5764""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""5751"", ""upper"": ""5932"", ""average"": ""5841""}, {""quarter"": ""Oct-Dec\\'10"", ""lower"": ""6088"", ""upper"": ""6428"", ""average"": ""6258""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""6882"", ""upper"": ""7339"", ""average"": ""7110""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""7257"", ""upper"": ""7586"", ""average"": ""7421""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""7492"", ""upper"": ""7938"", ""average"": ""7715""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""7903"", ""upper"": ""8455"", ""average"": ""8179""}, {""quarter"": ""Jan-Mar\\'12"", ""lower"": ""7043"", ""upper"": ""10139"", ""average"": ""8591""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""7291"", ""upper"": ""10564"", ""average"": ""8928""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""7693"", ""upper"": ""10510"", ""average"": ""9101""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""7628"", ""upper"": ""10998"", ""average"": ""9313""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""7791"", ""upper"": ""10947"", ""average"": ""9369""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""8087"", ""upper"": ""11166"", ""average"": ""9627""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""7711"", ""upper"": ""10758"", ""average"": ""9234""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""7606"", ""upper"": ""10846"", ""average"": ""9226""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""7368"", ""upper"": ""10738"", ""average"": ""9053""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""7540"", ""upper"": ""10681"", ""average"": ""9110""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""7167"", ""upper"": ""10199"", ""average"": ""8683""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""7274"", ""upper"": ""10428"", ""average"": ""8851""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""7289"", ""upper"": ""10348"", ""average"": ""8819""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""7337"", ""upper"": ""10066"", ""average"": ""8702""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""7186"", ""upper"": ""9815"", ""average"": ""8500""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""7320"", ""upper"": ""9806"", ""average"": ""8563""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""7167"", ""upper"": ""9873"", ""average"": ""8520""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""7091"", ""upper"": ""9864"", ""average"": ""8478""}, {""quarter"": ""Jul-Sep\\'16"", ""lower"": ""6893"", ""upper"": ""9617"", ""average"": ""8255""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""6783"", ""upper"": ""9556"", ""average"": ""8170""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""6545"", ""upper"": ""9258"", ""average"": ""7902""}, {""quarter"": ""Apr-Jun\\'17"", ""lower"": ""6634"", ""upper"": ""8878"", ""average"": ""7756""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""6784"", ""upper"": ""9610"", ""average"": ""8197""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""6981"", ""upper"": ""9826"", ""average"": ""8404""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""7006"", ""upper"": ""9817"", ""average"": ""8412""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""7103"", ""upper"": ""9761"", ""average"": ""8432""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""7047"", ""upper"": ""9792"", ""average"": ""8419""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""7132"", ""upper"": ""9906"", ""average"": ""8519""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""7186"", ""upper"": ""10037"", ""average"": ""8611""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""7355"", ""upper"": ""10095"", ""average"": ""8725""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""7455"", ""upper"": ""10268"", ""average"": ""8861""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""7561"", ""upper"": ""10162"", ""average"": ""8862""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""7638"", ""upper"": ""10271"", ""average"": ""8955""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""7651"", ""upper"": ""10277"", ""average"": ""8964""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""7558"", ""upper"": ""10330"", ""average"": ""8944""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""7616"", ""upper"": ""10383"", ""average"": ""8999""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""7752"", ""upper"": ""10332"", ""average"": ""9042""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""7959"", ""upper"": ""10305"", ""average"": ""9132""}, {""quarter"": ""Jul-Sep\\'21"", ""lower"": ""8022"", ""upper"": ""10361"", ""average"": ""9192""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""7947"", ""upper"": ""10220"", ""average"": ""9083""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""8246"", ""upper"": ""10438"", ""average"": ""9342""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""8354"", ""upper"": ""10673"", ""average"": ""9514""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""8126"", ""upper"": ""11258"", ""average"": ""9692""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""8139"", ""upper"": ""11382"", ""average"": ""9760""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""8414"", ""upper"": ""11655"", ""average"": ""10035""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""8798"", ""upper"": ""12176"", ""average"": ""10487""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""9051"", ""upper"": ""12937"", ""average"": ""10994""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""9339"", ""upper"": ""13727"", ""average"": ""11533""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""9742"", ""upper"": ""14775"", ""average"": ""12258""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""10113"", ""upper"": ""14821"", ""average"": ""12467""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""11014"", ""upper"": ""15462"", ""average"": ""13238""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""11927"", ""upper"": ""16168"", ""average"": ""14048""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""11812"", ""upper"": ""16582"", ""average"": ""14197""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""12162"", ""upper"": ""16946"", ""average"": ""14554""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""12845"", ""upper"": ""17782"", ""average"": ""15313""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""11763"", ""upper"": ""18192"", ""average"": ""14977""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""13626"", ""upper"": ""18029"", ""average"": ""15827""}]",[],4.6,40,32,198,178,20,5
New Delhi,Multistorey Apartment,Geeta Colony Road,185982,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Geeta-Colony-Road-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Geeta-Colony-Road-in-New-Delhi?widgetName=localityRatings,"9,585",7%,up,"7,621",1%,up,"5,656",8%,down,"7,621","7,621",1%,up,,,,,"[{""quarter"": ""Oct-Dec\\'25"", ""lower"": ""6132"", ""upper"": ""8972"", ""average"": ""7552""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""5656"", ""upper"": ""9585"", ""average"": ""7621""}]",[],,,,1980310,990155,990155,
New Delhi,Multistorey Apartment,Greater Kailash,90673,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Greater-Kailash-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/Greater-Kailash-in-New-Delhi?widgetName=localityRatings,"31,542",,down,"25,289",2%,down,"19,036",5%,down,"25,289","25,289",2%,down,53,53,15%,up,"[{""quarter"": ""Jan-Mar\\'09"", ""lower"": ""11787"", ""upper"": ""13025"", ""average"": ""12406""}, {""quarter"": ""Jul-Sep\\'09"", ""lower"": ""11299"", ""upper"": ""12054"", ""average"": ""11676""}, {""quarter"": ""Oct-Dec\\'09"", ""lower"": ""11109"", ""upper"": ""11957"", ""average"": ""11533""}, {""quarter"": ""Jan-Mar\\'10"", ""lower"": ""12501"", ""upper"": ""12917"", ""average"": ""12709""}, {""quarter"": ""Apr-Jun\\'10"", ""lower"": ""13165"", ""upper"": ""13728"", ""average"": ""13447""}, {""quarter"": ""Jul-Sep\\'10"", ""lower"": ""12346"", ""upper"": ""12867"", ""average"": ""12607""}, {""quarter"": ""Jan-Mar\\'11"", ""lower"": ""16837"", ""upper"": ""17830"", ""average"": ""17333""}, {""quarter"": ""Apr-Jun\\'11"", ""lower"": ""17428"", ""upper"": ""18703"", ""average"": ""18066""}, {""quarter"": ""Jul-Sep\\'11"", ""lower"": ""19298"", ""upper"": ""20767"", ""average"": ""20032""}, {""quarter"": ""Oct-Dec\\'11"", ""lower"": ""20938"", ""upper"": ""22784"", ""average"": ""21861""}, {""quarter"": ""Apr-Jun\\'12"", ""lower"": ""15479"", ""upper"": ""25894"", ""average"": ""20686""}, {""quarter"": ""Jul-Sep\\'12"", ""lower"": ""14774"", ""upper"": ""22173"", ""average"": ""18474""}, {""quarter"": ""Oct-Dec\\'12"", ""lower"": ""15121"", ""upper"": ""23914"", ""average"": ""19518""}, {""quarter"": ""Jan-Mar\\'13"", ""lower"": ""16495"", ""upper"": ""26390"", ""average"": ""21443""}, {""quarter"": ""Apr-Jun\\'13"", ""lower"": ""15407"", ""upper"": ""23347"", ""average"": ""19377""}, {""quarter"": ""Jul-Sep\\'13"", ""lower"": ""16305"", ""upper"": ""23782"", ""average"": ""20044""}, {""quarter"": ""Oct-Dec\\'13"", ""lower"": ""13412"", ""upper"": ""23576"", ""average"": ""18494""}, {""quarter"": ""Jan-Mar\\'14"", ""lower"": ""13785"", ""upper"": ""23214"", ""average"": ""18500""}, {""quarter"": ""Apr-Jun\\'14"", ""lower"": ""14575"", ""upper"": ""24521"", ""average"": ""19548""}, {""quarter"": ""Jul-Sep\\'14"", ""lower"": ""14347"", ""upper"": ""23918"", ""average"": ""19133""}, {""quarter"": ""Oct-Dec\\'14"", ""lower"": ""13115"", ""upper"": ""22520"", ""average"": ""17817""}, {""quarter"": ""Jan-Mar\\'15"", ""lower"": ""12444"", ""upper"": ""21441"", ""average"": ""16943""}, {""quarter"": ""Apr-Jun\\'15"", ""lower"": ""12726"", ""upper"": ""21552"", ""average"": ""17139""}, {""quarter"": ""Jul-Sep\\'15"", ""lower"": ""12909"", ""upper"": ""22497"", ""average"": ""17703""}, {""quarter"": ""Oct-Dec\\'15"", ""lower"": ""13093"", ""upper"": ""22331"", ""average"": ""17712""}, {""quarter"": ""Jan-Mar\\'16"", ""lower"": ""11450"", ""upper"": ""19347"", ""average"": ""15399""}, {""quarter"": ""Apr-Jun\\'16"", ""lower"": ""12319"", ""upper"": ""21364"", ""average"": ""16842""}, {""quarter"": ""Oct-Dec\\'16"", ""lower"": ""13564"", ""upper"": ""21288"", ""average"": ""17426""}, {""quarter"": ""Jan-Mar\\'17"", ""lower"": ""11940"", ""upper"": ""21352"", ""average"": ""16646""}, {""quarter"": ""Jul-Sep\\'17"", ""lower"": ""10806"", ""upper"": ""17867"", ""average"": ""14336""}, {""quarter"": ""Oct-Dec\\'17"", ""lower"": ""12373"", ""upper"": ""20009"", ""average"": ""16191""}, {""quarter"": ""Jan-Mar\\'18"", ""lower"": ""12746"", ""upper"": ""21044"", ""average"": ""16895""}, {""quarter"": ""Apr-Jun\\'18"", ""lower"": ""13008"", ""upper"": ""21332"", ""average"": ""17170""}, {""quarter"": ""Jul-Sep\\'18"", ""lower"": ""12802"", ""upper"": ""22799"", ""average"": ""17801""}, {""quarter"": ""Oct-Dec\\'18"", ""lower"": ""11360"", ""upper"": ""19728"", ""average"": ""15544""}, {""quarter"": ""Jan-Mar\\'19"", ""lower"": ""12048"", ""upper"": ""21036"", ""average"": ""16542""}, {""quarter"": ""Apr-Jun\\'19"", ""lower"": ""12000"", ""upper"": ""20875"", ""average"": ""16437""}, {""quarter"": ""Jul-Sep\\'19"", ""lower"": ""11975"", ""upper"": ""20916"", ""average"": ""16445""}, {""quarter"": ""Oct-Dec\\'19"", ""lower"": ""11728"", ""upper"": ""19903"", ""average"": ""15816""}, {""quarter"": ""Jan-Mar\\'20"", ""lower"": ""12989"", ""upper"": ""20108"", ""average"": ""16548""}, {""quarter"": ""Apr-Jun\\'20"", ""lower"": ""12909"", ""upper"": ""22929"", ""average"": ""17919""}, {""quarter"": ""Jul-Sep\\'20"", ""lower"": ""13099"", ""upper"": ""21639"", ""average"": ""17369""}, {""quarter"": ""Oct-Dec\\'20"", ""lower"": ""11942"", ""upper"": ""20066"", ""average"": ""16004""}, {""quarter"": ""Jan-Mar\\'21"", ""lower"": ""13252"", ""upper"": ""22555"", ""average"": ""17904""}, {""quarter"": ""Apr-Jun\\'21"", ""lower"": ""12643"", ""upper"": ""23294"", ""average"": ""17968""}, {""quarter"": ""Oct-Dec\\'21"", ""lower"": ""12733"", ""upper"": ""22543"", ""average"": ""17638""}, {""quarter"": ""Jan-Mar\\'22"", ""lower"": ""12305"", ""upper"": ""21056"", ""average"": ""16680""}, {""quarter"": ""Apr-Jun\\'22"", ""lower"": ""11107"", ""upper"": ""19894"", ""average"": ""15500""}, {""quarter"": ""Jul-Sep\\'22"", ""lower"": ""12115"", ""upper"": ""21540"", ""average"": ""16828""}, {""quarter"": ""Oct-Dec\\'22"", ""lower"": ""10793"", ""upper"": ""19287"", ""average"": ""15040""}, {""quarter"": ""Jan-Mar\\'23"", ""lower"": ""12302"", ""upper"": ""21918"", ""average"": ""17110""}, {""quarter"": ""Apr-Jun\\'23"", ""lower"": ""11986"", ""upper"": ""22924"", ""average"": ""17455""}, {""quarter"": ""Jul-Sep\\'23"", ""lower"": ""13952"", ""upper"": ""24623"", ""average"": ""19288""}, {""quarter"": ""Oct-Dec\\'23"", ""lower"": ""15636"", ""upper"": ""25882"", ""average"": ""20759""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""16543"", ""upper"": ""30293"", ""average"": ""23418""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""18784"", ""upper"": ""31426"", ""average"": ""25105""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""20067"", ""upper"": ""32528"", ""average"": ""26297""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""18669"", ""upper"": ""31986"", ""average"": ""25328""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""18776"", ""upper"": ""32306"", ""average"": ""25541""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""20051"", ""upper"": ""32118"", ""average"": ""26084""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""19927"", ""upper"": ""32449"", ""average"": ""26188""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""19939"", ""upper"": ""31536"", ""average"": ""25737""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""19036"", ""upper"": ""31542"", ""average"": ""25289""}]",[],4.8,25,19,2104,1350,754,9
New Delhi,Multistorey Apartment,GT Karnal Road,77796,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-GT-Karnal-Road-in-New-Delhi,https://www.magicbricks.com/real-estate-property-reviews/GT-Karnal-Road-in-New-Delhi?widgetName=localityRatings,"8,745",4%,up,"7,054",3%,up,"5,364",2%,up,"7,054","7,054",3%,up,,,,,"[{""quarter"": ""Oct-Dec\\'23"", ""lower"": ""5629"", ""upper"": ""9700"", ""average"": ""7665""}, {""quarter"": ""Jan-Mar\\'24"", ""lower"": ""5437"", ""upper"": ""9442"", ""average"": ""7440""}, {""quarter"": ""Apr-Jun\\'24"", ""lower"": ""5410"", ""upper"": ""9774"", ""average"": ""7592""}, {""quarter"": ""Jul-Sep\\'24"", ""lower"": ""4962"", ""upper"": ""9052"", ""average"": ""7007""}, {""quarter"": ""Oct-Dec\\'24"", ""lower"": ""4887"", ""upper"": ""8468"", ""average"": ""6678""}, {""quarter"": ""Jan-Mar\\'25"", ""lower"": ""5409"", ""upper"": ""9012"", ""average"": ""7210""}, {""quarter"": ""Apr-Jun\\'25"", ""lower"": ""5276"", ""upper"": ""8743"", ""average"": ""7010""}, {""quarter"": ""Jul-Sep\\'25"", ""lower"": ""5252"", ""upper"": ""8596"", ""average"": ""6924""}, {""quarter"": ""Oct-Dec\\'25"", ""lower"": ""5270"", ""upper"": ""8428"", ""average"": ""6849""}, {""quarter"": ""Jan-Mar\\'26"", ""lower"": ""5364"", ""upper"": ""8745"", ""average"": ""7054""}]",[],5.0,4,3,1082,859,223,1
